,locName,catName,distance
552,Village Hotel Glasgow,Hotel,942
553,The Louden Tavern,Arts and Entertainment,423
554,Sherbrooke Castle Hotel,Hotel,893
555,Swallow Hotel Glasgow,Hotel,166
556,Kensington Bar,Wine Bar,294
557,Stadium Bar,Bar,418
558,Bar 72,Sports Bar,530
559,District Bar,Sports Bar,765
560,The Louden Tavern,Arts and Entertainment,816
561,Sherbrooke Castle Hotel,Hotel,718
562,Bellrock,Bar,754
563,District Bar,Sports Bar,775
564,The Grapes Bar,Pub,776
565,Stanley Bar,Bar,818
566,The Louden Tavern,Arts and Entertainment,889
567,Kensington Bar,Wine Bar,944
568,LA Bartenders,Cocktail Bar,992
569,Bruce Hotel East Kilbride Glasgow,Hotel,333
570,Bellshaugh Property,Hotel,571
571,Twechar Miners Club,Bar,192
572,Bells Bar,Bar,22
573,Shevlanes,Karaoke Bar,25
574,Millarbank Social Club,Bar,334
575,ABW Property,Cottage / Cabin,417
576,Scottish Country Cottages,Bed and Breakfast,417
577,Sps Doorguard Limited Scotland,Lodging,457
578,New Morven Public House,Arts and Entertainment,548
579,Cowlairs,Arts and Entertainment,577
580,Huntingdon Road Apartment,Residential Building,930
581,The Old Smiddy,Bar,410
582,Clockwork Beer Co,Bar,720
583,Beechings,Bar,29
584,The Bank,Wine Bar,936
585,Cathcart Bowling Club,Sports Bar,156
586,The White Elephant,Pub,556
587,Holmwood House,Historic and Protected Site,773
588,The Florida Park,Bar,804
589,The Ball Room,Pool Hall,854
590,The Bank Cafe Bar,Bar,943
591,The Knowes,Bed and Breakfast,195
592,Princess Bar,Bar,319
593,Glasgow City Council,Hotel,433
594,The Anvil Inn,Hotel Bar,464
595,Riddrie Hostel,Hostel,485
596,Sloppy Joe's Discos,Night Club,556
597,The Lockhouse,Bar,150
598,The Viking Bar,Bar,610
599,Rams Head,Pub,890
600,First & Last,Bar,1605
601,The Botany,Arts and Entertainment,17
602,Maryhill Juniors,Bar,125
603,The Politician,Bar,315
604,Frampton's Nightclub,Night Club,543
605,Glasgow West End Apartments,Lodging,688
606,"Private, West End tenement flat near Botanics",Lodging,689
607,The Clutha Bar,Beer Bar,662
608,13th Note,Night Club,874
609,The Laurieston Bar,Pub,680
610,Oasis Lounge,Lounge,877
611,Hootenanny,Pub,960
612,Premier Inn Glasgow City Centre hotel,Lodging,974
613,Brazen Heid,Bar,238
614,Sharkeys Bar,Bar,248
615,"Holiday Inn Express Glasgow - City Ctr Riverside, an IHG Hotel",Lodging,704
616,Victoria Bar,Dive Bar,655
617,Stereo,Wine Bar,56
618,The Pot Still,Whisky Bar,242
619,The Smoking Fox,Bar,68
620,Kimpton Blythswood Square Hotel,Hotel,370
621,The Butterfly & the Pig,Bar,430
622,Hotel Motel One,Lodging,272
623,Shilling Brewing Co,Bar,270
624,Max's Bar and Grill,Cocktail Bar,434
625,The Citizen Bar & Dining Rooms,Cocktail Bar,370
626,Anchor Line,Cocktail Bar,395
627,Anchor Line,Cocktail Bar,118
628,The Citizen Bar & Dining Rooms,Cocktail Bar,117
629,The Pot Still,Whisky Bar,356
630,The Z Hotel Glasgow,Hotel,225
631,Max's Bar and Grill,Cocktail Bar,291
632,Shilling Brewing Co,Bar,174
633,citizenM Hotel Glasgow,Hotel,461
634,Stereo,Wine Bar,365
635,Republic Bier Halle,Beer Garden,238
636,The Raven,Bar,277
637,citizenM Hotel Glasgow,Hotel,255
638,The Pot Still,Whisky Bar,401
639,The Z Hotel Glasgow,Hotel,428
640,The Raven,Bar,265
641,The Butterfly & the Pig,Bar,535
642,Shilling Brewing Co,Bar,346
643,Kimpton Blythswood Square Hotel,Hotel,629
644,Anchor Line,Cocktail Bar,440
645,The Citizen Bar & Dining Rooms,Cocktail Bar,436
646,Apex City of Glasgow Hotel,Hotel,385
647,Sugar Rush,Hookah Bar,438
648,Urban Shisha Lounge,Lounge,451
649,Travelodge Glasgow Paisley Road,Hotel,811
650,LA Bartenders,Cocktail Bar,722
651,Quayside,Pub,743
652,Stanley Bar,Bar,743
653,Star Bar,Night Club,865
654,The Old Toll Bar,Wine Bar,890
655,The Angel Bar,Bar,894
656,Merchants Quay,Bar,902
657,Six Degrees North,Beer Bar,889
658,The Brechin,Bar,115
659,Smiddy Bar,Bar,948
660,Brechin Bar,Lounge,754
661,Hayburn Vaults,Arts and Entertainment,776
662,The Poetry Club,Music Venue,800
663,Deoch an Dorus,Bar,866
664,The Rosevale Tavern,Pub,860
665,Hayburn,Bar,862
666,Windsor Tavern,Bar,879
667,GoGlasgow Urban Hotel,Hotel,664
668,The Louden Tavern,Arts and Entertainment,876
669,Bar 72,Sports Bar,671
670,Swallow Hotel Glasgow,Hotel,672
671,Glasgow Guest House,Bed and Breakfast,770
672,Stadium Bar,Bar,871
673,GoGlasgow Urban Hotel by Compass Hospitality,Hotel,672
674,Holly House,Bed and Breakfast,733
675,Airdbreck,Hotel,801
676,Ibrox Stadium - More Than a Pub,Sports Bar,879
677,The Butchershop Bar & Grill,Wine Bar,628
678,Lebowskis,Cocktail Bar,378
679,BrewDog Glasgow,Beer Bar,826
680,Chinaskis,Beer Garden,464
681,Dram,Bar,478
682,Inn Deep,Beer Bar,859
683,Taphouse Bar & Kitchen,Wine Bar,382
684,Strip Joint,Bar,396
685,Nice N Sleazy,Night Club,625
686,The SSE Hydro,Concert Hall,905
687,Ardnamurchan,Whisky Bar,930
688,The Drake,Bar,966
689,The Pipers' Tryst Hotel,Hotel,889
690,Jackson's Bar,Bar,820
691,Arlington Bar,Pub,973
692,Thistle Bar,Pub,524
693,The Woodside Inn,Pub,608
694,Victorian House,Hotel,900
695,Willow Hotel,Hotel,855
696,Brett Wine Bar and Eatery,Wine Bar,896
697,St Louis Cafe Bar,Wine Bar,793
698,Granny Gibbs Bar,Pub,500
699,Manor Park Hotel,Hotel,391
700,The Three Craws,Pub,862
701,The Square Bar & Restaurant,Wine Bar,620
702,Broken Pony,Bar,786
703,Pianola & Co,Wine Bar,790
704,The Clubhouse,Sports Bar,926
705,Thornwood,Bar,964
706,Manor Park Guest House,Hotel,384
707,BrewDog Glasgow,Beer Bar,884
708,Three Judges,Bar,632
709,The Lismore,Whisky Bar,622
710,Bag O' Nails,Beer Bar,636
711,The Sparkle Horse,Bar,705
712,Six Degrees North,Beer Bar,839
713,Dukes Bar,Bar,831
714,The Record Factory,Music Venue,692
715,Bar Gumbo,Bar,833
716,Smiddy Bar,Bar,571
717,Premier Inn Glasgow hotel,Lodging,980
718,The Fullarton Park Hotel,Hotel,662
719,The Bell's,Bar,113
720,Waverley Bar,Bar,205
721,Strathspey Bar,Bar,319
722,The Kimberley,Pub,379
723,Palaceum Bar,Bar,824
724,Town Tavern,Bar,870
725,The Cottage Bar,Wine Bar,883
726,The Drum,Bar,957
727,The SSE Hydro,Concert Hall,124
728,Radisson RED Glasgow,Lodging,306
729,Village Hotel Glasgow,Hotel,338
730,The Butchershop Bar & Grill,Wine Bar,876
731,Lebowskis,Cocktail Bar,643
732,Taphouse Bar & Kitchen,Wine Bar,645
733,Strip Joint,Bar,668
734,The 78,Bar,660
735,Islay Inn,Pub,816
736,Premier Inn Glasgow Pacific Quay hotel,Lodging,196
737,Village Hotel Glasgow,Hotel,303
738,The SSE Hydro,Concert Hall,478
739,Radisson RED Glasgow,Lodging,658
740,The Butchershop Bar & Grill,Wine Bar,966
741,Mora,Arts and Entertainment,867
742,Lebowskis,Cocktail Bar,933
743,The 78,Bar,823
744,Taphouse Bar & Kitchen,Wine Bar,907
745,Strip Joint,Bar,985
746,Islay Inn,Pub,907
747,The Butterfly & the Pig,Bar,89
748,Kimpton Blythswood Square Hotel,Hotel,221
749,The Pot Still,Whisky Bar,283
750,citizenM Hotel Glasgow,Hotel,236
751,Hampton by Hilton Glasgow Central,Hotel,100
752,Apex City of Glasgow Hotel,Hotel,144
753,Malone's Irish Bar,Pub,151
754,Stereo,Wine Bar,465
755,The Raven,Bar,319
756,The Howlin' Wolf,Pub,176
757,The Oak Bar,Bar,17
758,The Real McCoy,Pub,148
759,Turnstyles,Bar,216
760,Five Ways,Arts and Entertainment,350
761,Kerrydale Bar,Sports Bar,415
762,The Prince Charlie Bar,Pub,445
763,Celtic FC Supporters Association Social Club,Sports Bar,597
764,Bellway Commonwealth Apartment,Residential Building,66
765,London Road Tavern,Bar,160
766,Heathbank Guest House,Hotel,177
767,Strathmore Bar,Pub,603
768,The Viking Bar,Bar,22
769,The Lockhouse,Bar,442
770,Francos,Bar,582
771,The Brewhaus,Pub,587
